"","NoiseDiff"
"319","YNL202W"
"320","YNR034W.A"
"321","YOR063W"
"322","YOR084W"
"323","YOR120W"
"324","YOR147W"
"325","YOR173W"
"326","YOR229W"
"327","YOR382W"
"328","YPL111W"
"329","YPL134C"
"330","YPL135W"
"331","YPL143W"
"332","YPL156C"
"333","YPR006C"
