"YGL028C"
"YHR090C"
"YJL078C"
"YJL079C"
"YJL158C"
"YLR109W"
"YLR190W"
"YLR194C"
"YLR303W"
"YML028W"
"YNL327W"
"YOL155C"
"YOR369C"
"YPL240C"
