"","gene","DDcategory","Clusters.combined","Clusters.c1","Clusters.c2","nonzero.pvalue","nonzero.pvalue.adj","zero.pvalue","zero.pvalue.adj","combined.pvalue","combined.pvalue.adj"
"YOR173W","YOR173W","NS",1,1,1,0.232237110775834,0.999395400003608,0.872048950789365,0.999876213385855,0.525930955771675,0.999697018279889
"YOR184W","YOR184W","NS",1,1,1,0.801623815872499,0.999395400003608,0.3162549019079,0.999876213385855,0.601425197160456,0.999697018279889
"YOR185C","YOR185C","NS",1,1,1,0.902816814438458,0.999395400003608,0.885664141200785,0.999876213385855,0.978423801470005,0.999697018279889
"YOR215C","YOR215C","NS",1,1,1,0.397259591814047,0.999395400003608,0.478989825692192,0.999876213385855,0.506009207720648,0.999697018279889
"YOR220W","YOR220W","NS",1,1,1,0.761399377318012,0.999395400003608,0.608225638549686,0.999876213385855,0.81960207894583,0.999697018279889
"YOR230W","YOR230W","NS",1,1,1,0.194218454125094,0.999395400003608,0.568119280517502,0.999876213385855,0.353548532382292,0.999697018279889
"YOR259C","YOR259C","NS",1,1,1,0.971476360302063,0.999395400003608,0.666736970874785,0.999876213385855,0.929022362015279,0.999697018279889
"YOR261C","YOR261C","NS",1,1,1,0.976936626943903,0.999395400003608,0.313943096712119,0.999876213385855,0.669187159718797,0.999697018279889
"YOR276W","YOR276W","NS",1,2,1,0.676472785031297,0.999395400003608,0.464478732291183,0.999876213385855,0.677965729375037,0.999697018279889
"YOR285W","YOR285W","NS",1,1,1,0.570487197564628,0.999395400003608,0.00494935999272418,0.684351950729149,0.0193970912791223,0.998950200874799
"YOR289W","YOR289W","NS",1,1,1,0.584650304573072,0.999395400003608,0.953227031640512,0.999876213385855,0.883128943922828,0.999697018279889
"YOR293W","YOR293W","NS",1,1,1,0.895896438039553,0.999395400003608,0.329218459365175,0.999876213385855,0.655063716779188,0.999697018279889
"YOR298C.A","YOR298C.A","NS",1,1,1,0.584303409054581,0.999395400003608,0.126929449320008,0.999876213385855,0.267103305127339,0.999697018279889
"YOR303W","YOR303W","NS",1,1,1,0.683910305331676,0.999395400003608,0.216954973561417,0.999876213385855,0.431481575864006,0.999697018279889
"YOR312C","YOR312C","NS",1,1,1,0.995803478356668,0.999807492342321,0.818746898694413,0.999876213385855,0.981785803100159,0.999697018279889
"YOR317W","YOR317W","NS",1,1,1,0.878264425297686,0.999395400003608,0.473909201678992,0.999876213385855,0.781051914885646,0.999697018279889
"YOR327C","YOR327C","NS",1,1,1,0.0177728236579237,0.999395400003608,0.433028995391914,0.999876213385855,0.0451535721324706,0.999697018279889
"YOR332W","YOR332W","NS",1,1,1,0.965357653974163,0.999395400003608,0.481739430004838,0.999876213385855,0.821097742021626,0.999697018279889
"YOR362C","YOR362C","NS",1,1,1,0.696579498461812,0.999395400003608,0.548725116307974,0.999876213385855,0.74983375264344,0.999697018279889
"YOR369C","YOR369C","NS",1,1,1,0.912536082788422,0.999395400003608,0.785485990973737,0.999876213385855,0.95545936900974,0.999697018279889
"YOR374W","YOR374W","NS",1,1,1,0.502283110675396,0.999395400003608,0.770345308077229,0.999876213385855,0.754325842339896,0.999697018279889
"YOR383C","YOR383C","NS",1,1,1,0.878266605742291,0.999395400003608,0.283350209020587,0.999876213385855,0.594986475534002,0.999697018279889
"YGL245W","YGL245W","NS",1,1,1,0.56930175717384,0.999395400003608,0.883340154326364,0.999876213385855,0.848566457558136,0.999697018279889
"YGL231C","YGL231C","NS",1,1,1,0.119311302799187,0.999395400003608,0.667468985565866,0.999876213385855,0.281139600571018,0.999697018279889
"YGL215W","YGL215W","NS",1,2,1,0.495888358536865,0.999395400003608,0.389157298080117,0.999876213385855,0.51046231363213,0.999697018279889
"YGL200C","YGL200C","NS",1,1,1,0.842202107517342,0.999395400003608,0.986619426511316,0.999876213385855,0.984826863852824,0.999697018279889
"YGL191W","YGL191W","NS",1,1,1,0.262208820960629,0.999395400003608,0.606580628290796,0.999876213385855,0.451470710843674,0.999697018279889
"YGL189C","YGL189C","NS",1,1,1,0.606265394071331,0.999395400003608,0.580500315433006,0.999876213385855,0.71946616261527,0.999697018279889
"YGL154C","YGL154C","NS",1,1,1,0.376743999512383,0.999395400003608,0.672734218468376,0.999876213385855,0.601330660601927,0.999697018279889
"YGL135W","YGL135W","NS",1,1,1,0.26074020336235,0.999395400003608,0.31979536343254,0.999876213385855,0.290533551981073,0.999697018279889
"YGL123W","YGL123W","NS",1,1,1,0.0170677979661445,0.999395400003608,0.869710918526637,0.999876213385855,0.0773398196942922,0.999697018279889
"YGL121C","YGL121C","NS",1,1,1,0.926820254556909,0.999395400003608,0.00586833508559752,0.689948539349537,0.0337982524783303,0.999697018279889
"YGL103W","YGL103W","NS",1,1,1,0.664014260483583,0.999395400003608,0.18988014986705,0.999876213385855,0.38717781343768,0.999697018279889
