"","gene","DDcategory","Clusters.combined","Clusters.c1","Clusters.c2","nonzero.pvalue","nonzero.pvalue.adj","zero.pvalue","zero.pvalue.adj","combined.pvalue","combined.pvalue.adj"
"YOR136W","YOR136W","NS",1,1,1,0.132738641395065,0.578836136350092,0.572208063468561,0.964609994436377,0.271735422146303,0.746834224032389
"YOR142W","YOR142W","NS",1,1,1,0.3900069930496,0.757996780276515,0.130984332657596,0.808918091743695,0.203024717333901,0.68447297566753
"YOR145C","YOR145C","NS",1,1,1,0.301098643089149,0.725769333522779,0.796801554893572,0.984505054751644,0.582387843010384,0.869000041974411
"YOR150W","YOR150W","NS",1,1,1,0.0895659397237848,0.542678978707437,0.738650944480157,0.984505054751644,0.245823813938452,0.716495280405456
"YOR153W","YOR153W","NS",1,1,1,0.0115174251277139,0.302465302969349,0.614485453056064,0.970785991507646,0.0421159927639058,0.430632850442083
"YOR157C","YOR157C","NS",1,1,1,0.514564171675463,0.820993879587905,0.727182635521532,0.984505054751644,0.742007887022709,0.909980933054728
"YOR159C","YOR159C","NS",1,1,1,0.299549514819987,0.725769333522779,0.4441490644515,0.951151538516433,0.401405061044233,0.816684671278314
"YOR163W","YOR163W","NS",1,1,1,0.951247139766902,0.987099615551429,0.818325483588452,0.984505054751644,0.973408138602038,0.992034985688676
"YOR164C","YOR164C","NS",1,1,1,0.27597976204966,0.703273918340992,0.721430887712857,0.984505054751644,0.520437584412347,0.861998476394519
"YOR165W","YOR165W","NS",1,1,1,0.867639408292422,0.949758850152832,0.623243613956109,0.970785991507646,0.873202577222671,0.951824265210153
"YOR167C","YOR167C","NS",1,1,1,0.682579579317958,0.902838279187478,0.701422529693215,0.979478603851286,0.831405775900915,0.933045793641626
"YOR168W","YOR168W","NS",1,1,1,0.00859066213761095,0.29635286657497,0.319262756829063,0.951151538516433,0.0189212459255436,0.360017254744964
"YOR175C","YOR175C","NS",1,1,1,0.852560694845676,0.946858234288594,0.849597799026419,0.984505054751644,0.957933546788882,0.986139220637488
"YOR182C","YOR182C","NS",1,1,1,0.0575694348945315,0.464715000017328,0.839297363444902,0.984505054751644,0.194718799087931,0.681116782875202
"YOR184W","YOR184W","NS",1,1,1,0.611585690302496,0.859947918736706,0.255673803575631,0.914102288858538,0.446512664311318,0.839169322125258
"YOR187W","YOR187W","NS",1,1,1,0.45982101813508,0.791168105979758,0.66438696346276,0.977876429114367,0.667762501249321,0.890840222207613
"YOR194C","YOR194C","NS",1,1,1,0.238338387185107,0.688515803680027,0.671103562393899,0.977876429114367,0.453120922034696,0.843486819970804
"YOR196C","YOR196C","NS",1,1,1,0.582614440182683,0.839402763157678,0.546938626271265,0.957352594193301,0.683082847915389,0.895357255322461
"YOR197W","YOR197W","NS",1,1,1,0.47869102888441,0.803466653201267,0.0753351799441103,0.758664743538212,0.155879470575499,0.650577643697744
"YOR198C","YOR198C","NS",1,1,1,0.0637585660946802,0.4815746562992,0.47213288800987,0.951151538516433,0.135556040058943,0.628331351826957
"YOR202W","YOR202W","NS",1,1,1,0.656848234926433,0.888462707622362,0.231988542346477,0.908705429714182,0.439066740156515,0.833689572243795
"YOR206W","YOR206W","NS",1,1,1,0.874549406217821,0.949758850152832,0.423662855700426,0.951151538516433,0.738384128132988,0.909923657484082
"YOR209C","YOR209C","NS",1,1,1,0.748229504348459,0.92124146327832,0.31705693581048,0.951151538516433,0.578540713915896,0.868873623047828
